Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,French transaction tax,Currency (French transaction tax)
Deposit,2020-05-28 12:16:53,,,,,,,,,,1.00,"EUR",,,,,"Transaction ID: 1735906682112189",07b975e8-3332-40f1-b026-19130251ed27,,
Deposit,2020-05-28 12:22:11,,,,,,,,,,10.38,"EUR",,,,,"Free Shares Promotion",5e4501b8-d623-4f89-8c0e-401d98150ccf,,
Market buy,2020-05-28 12:22:11,GB00BDR05C01,NG,"National Grid",1.0000000000,926.20,GBX,89.74806,,"EUR",10.37,"EUR",,,0.05,"EUR",,EOF230497585,,
Deposit,2020-06-05 12:12:55,,,,,,,,,,10.37,"EUR",,,,,"Free Shares Promotion",96bd0cde-708d-4b25-ad78-fe42a7a5de04,,
Market buy,2020-06-05 12:12:55,GB00BDR05C01,NG,"National Grid",1.0000000000,922.20,GBX,89.44713,,"EUR",10.36,"EUR",,,0.05,"EUR",,EOF244167658,,
Market sell,2020-06-15 14:23:36,GB00BDR05C01,NG,"National Grid",2.0000000000,910.80,GBX,89.73399,-0.34,"EUR",20.30,"EUR",,,,,,EOF264068763,,
Market buy,2020-07-02 13:04:23,DE000PAH0038,PAH3,"Porsche Automobil Holding",0.1600000000,53.14,EUR,1.00000,,"EUR",8.50,"EUR",,,,,,EOF293814097,,
Market buy,2020-07-02 13:05:24,ES0177542018,IAG,"International Consolidated Airlines",1.0000000000,235.30,GBX,90.15325,,"EUR",2.61,"EUR",,,,,,EOF293816762,,
Market buy,2020-07-02 13:06:26,US3682872078,OGZD,"Gazprom",1.0000000000,5.50,USD,1.12556,,"EUR",4.89,"EUR",,,,,,EOF293819378,,
Market buy,2020-07-02 13:30:14,US5391831030,LVGO,"Livongo",0.0750000000,73.24,USD,1.12561,,"EUR",4.88,"EUR",,,,,,EOF293883789,,
Deposit,2020-07-07 11:07:35,,,,,,,,,,100.00,"EUR",,,,,"Transaction ID: 4825941200542448",64bf39bf-4628-471a-a0c5-e4e0a1baaf40,,
