Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Deposit,2020-12-01 08:37:02,,,,,,,,,,200.00,"EUR",,,,"Transaction ID: 1736068118213575",5b4eba97-75f3-4675-89d3-c24219c0824f,,,
Market buy,2020-12-01 08:37:35,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",2.0000000000,38.80,USD,1.19753,,"EUR",64.80,"EUR",,,,,EOF617722806,,,
Market buy,2020-12-01 08:43:48,XS2856106302,3LNF,"GraniteShares 3x Long Netflix",3.0000000000,4.94,USD,1.19805,,"EUR",12.36,"EUR",,,,,EOF617740892,,,
Market buy,2020-12-01 08:45:14,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",10.0000000000,2.73,USD,1.19815,,"EUR",22.76,"EUR",,,,,EOF617745359,,,
Deposit,2020-12-01 08:47:52,,,,,,,,,,100.00,"EUR",,,,"Transaction ID: 4856068124722815",ebf66f43-4285-4a7b-97f9-ada8fd008f30,,,
Market buy,2020-12-01 08:49:45,XS2675292309,3LAL,"GraniteShares 3x Long Alphabet",5.0000000000,9.00,USD,1.19805,,"EUR",37.54,"EUR",,,,,EOF617758309,,,
Market buy,2020-12-01 08:55:52,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",1.0000000000,47.56,USD,1.19775,,"EUR",39.71,"EUR",,,,,EOF617773653,,,
Deposit,2020-12-01 09:16:22,,,,,,,,,,100.00,"EUR",,,,"Transaction ID: 6159068141820484",8add6e74-a0fa-4e57-8eee-5b1d1d8f5afc,,,
Market buy,2020-12-01 09:18:06,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",2.5000000000,47.83,USD,1.19742,,"EUR",99.86,"EUR",,,,,EOF617846676,,,
Deposit,2020-12-01 09:26:26,,,,,,,,,,100.00,"EUR",,,,"Transaction ID: 6149068147866070",aa1d199d-be75-408d-a35e-38d519157023,,,
Market buy,2020-12-01 09:27:15,XS2712624779,3LAZ,"GraniteShares 3x Long AstraZeneca",8.0000000000,460.00,GBX,89.51593,,"EUR",41.11,"EUR",,,,,EOF617876421,,,
Market buy,2020-12-01 09:29:31,XS2734938835,3LNV,"GraniteShares 3x Long NVIDIA",4.4000000000,11.88,USD,1.19794,,"EUR",43.62,"EUR",,,,,EOF617882630,,,
Deposit,2020-12-01 10:05:47,,,,,,,,,,200.00,"EUR",,,,"Transaction ID: 1556068171466976",1b60b1ce-4bb4-4efb-91cc-9d6764cb6f86,,,
Market buy,2020-12-01 10:17:24,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",1.0000000000,42.94,EUR,1.00000,,"EUR",42.94,"EUR",,,,,EOF617955563,,,
Market buy,2020-12-01 10:18:06,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",1.0000000000,39.01,USD,1.19736,,"EUR",32.58,"EUR",,,,,EOF617956490,,,
Market buy,2020-12-01 10:19:06,XS2856106302,3LNF,"GraniteShares 3x Long Netflix",10.0000000000,5.00,USD,1.19722,,"EUR",41.78,"EUR",,,,,EOF617957776,,,
Market buy,2020-12-01 10:19:35,XS2722161424,3LAP,"GraniteShares 3x Long Apple",6.0000000000,9.52,USD,1.19710,,"EUR",47.73,"EUR",,,,,EOF617958408,,,
Market buy,2020-12-01 10:43:25,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",3.0000000000,39.16,USD,1.19682,,"EUR",98.16,"EUR",,,,,EOF617988162,,,
Market buy,2020-12-01 12:32:49,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",10.0000000000,2.83,USD,1.19687,,"EUR",23.67,"EUR",,,,,EOF618132041,,,
Market buy,2020-12-01 15:49:18,US69608A1088,PLTR,"Palantir",2.3400000000,25.21,USD,1.20341,,"EUR",49.02,"EUR",,,,,EOF619969260,,,
Market buy,2020-12-03 14:34:00,US69608A1088,PLTR,"Palantir",0.1300000000,24.36,USD,1.21333,,"EUR",2.61,"EUR",,,,,EOF626215432,,,
Market sell,2020-12-04 15:22:05,CA0679011084,GOLD,"Barrick Gold",5.3200000000,23.42,USD,1.21484,-31.81,"EUR",102.56,"EUR",,,,,EOF630010110,,,
Market buy,2020-12-04 15:22:30,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",12.0000000000,3.10,USD,1.21449,,"EUR",30.64,"EUR",,,,,EOF630013173,,,
Market buy,2020-12-04 15:22:39,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",2.0000000000,41.61,USD,1.21453,,"EUR",68.52,"EUR",,,,,EOF630014193,,,
Market buy,2020-12-04 15:30:33,US69608A1088,PLTR,"Palantir",0.1700000000,23.75,USD,1.21611,,"EUR",3.32,"EUR",,,,,EOF630117787,,,
Market sell,2020-12-10 12:34:08,DE000PAH0038,PAH3,"Porsche Automobil Holding",0.2300000000,55.02,EUR,1.00000,0.64,"EUR",12.65,"EUR",,,,,EOF643694275,,,
Market sell,2020-12-10 12:34:40,US3682872078,OGZD,"Gazprom",1.5000000000,5.18,USD,1.20981,-0.22,"EUR",6.42,"EUR",,,,,EOF643694320,,,
Market buy,2020-12-10 12:35:18,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.5400000000,41.12,USD,1.20875,,"EUR",18.37,"EUR",,,,,EOF643694361,,,
