Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,2021-11-10 15:58:33,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",12.0000000000,7.54,EUR,1.00000,,"EUR",90.42,"EUR",,,,,,,,EOF1660835178,,
Deposit,2021-11-10 16:05:15,,,,,,,,,,311.35,"EUR",,,,,,,,9bdc196e-82c2-43cb-b9a1-c1b9031af0a6,,
Market buy,2021-11-10 16:06:05,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",2.0000000000,100.62,EUR,1.00000,,"EUR",201.24,"EUR",,,,,,,,EOF1660836979,,
Market buy,2021-11-10 16:06:14,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",1.0000000000,100.52,EUR,1.00000,,"EUR",100.52,"EUR",,,,,,,,EOF1660837002,,
Market buy,2021-11-10 16:07:36,CA4433003064,HEOFF,"H2O Innovation",5.0000000000,2.00,USD,1.15340,,"EUR",8.68,"EUR",,,,,,,,EOF1660837253,0.01,"EUR"
Market buy,2021-11-10 16:10:06,US26853E1029,EH,"EHang",0.4400000000,24.98,USD,1.15332,,"EUR",9.54,"EUR",,,,,,,,EOF1660837892,0.01,"EUR"
Deposit,2021-12-02 14:15:15,,,,,,,,,,300.00,"EUR",,,301.58,"EUR",-1.58,"EUR","Transaction ID: 1726384544980691",ccc1dd97-e98c-442e-8c83-b7dbd359e414,,
Market buy,2021-12-02 14:20:43,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",20.0000000000,4.11,EUR,1.00000,,"EUR",82.10,"EUR",,,,,,,,EOF1695724236,,
Market buy,2021-12-02 16:43:02,US87918A1051,TDOC,"Teladoc Health",1.2000000000,95.62,USD,1.13182,,"EUR",101.53,"EUR",,,,,,,,EOF1696774309,0.15,"EUR"
Market buy,2021-12-03 16:43:30,US69608A1088,PLTR,"Palantir",6.0000000000,18.62,USD,1.13019,,"EUR",99.00,"EUR",,,,,,,,EOF1698865912,0.15,"EUR"
Market buy,2021-12-03 16:45:08,US26853E1029,EH,"EHang",1.1500000000,15.97,USD,1.13018,,"EUR",16.27,"EUR",,,,,,,,EOF1698866081,0.02,"EUR"
Market buy,2021-12-03 16:45:33,US26853E1029,EH,"EHang",0.1300000000,15.94,USD,1.13234,,"EUR",1.83,"EUR",,,,,,,,EOF1698866161,,
Deposit,2021-12-03 17:43:22,,,,,,,,,,500.00,"EUR",,,503.50,"EUR",-3.50,"EUR","Transaction ID: 1539385534017664",ef83fb61-7746-4b1c-86bc-07145be7dc49,,
Market buy,2021-12-03 18:19:03,US26853E1029,EH,"EHang",4.0000000000,16.40,USD,1.13083,,"EUR",58.10,"EUR",,,,,,,,EOF1698877703,0.09,"EUR"
Market buy,2021-12-03 18:24:38,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",1.0000000000,118.99,USD,1.13162,,"EUR",105.31,"EUR",,,,,,,,EOF1698878156,0.16,"EUR"
Market buy,2021-12-03 18:25:17,CA1366351098,CSIQ,"Canadian Solar",2.0000000000,33.32,USD,1.13160,,"EUR",58.98,"EUR",,,,,,,,EOF1698878198,0.09,"EUR"
Market buy,2021-12-03 18:25:59,BMG162581083,BEP,"Brookfield Renewable Partners",2.0000000000,33.89,USD,1.13155,,"EUR",59.99,"EUR",,,,,,,,EOF1698878278,0.09,"EUR"
Market buy,2021-12-03 18:33:12,CA87971M1032,TU,"TELUS",1.0000000000,23.00,USD,1.13188,,"EUR",20.35,"EUR",,,,,,,,EOF1698878705,0.03,"EUR"
Market buy,2021-12-03 18:33:55,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.4400000000,56.35,USD,1.13162,,"EUR",21.94,"EUR",,,,,,,,EOF1698878767,0.03,"EUR"
Market buy,2021-12-03 18:39:10,CA2926717083,UUUU,"Energy Fuels",1.7500000000,7.89,USD,1.13176,,"EUR",12.22,"EUR",,,,,,,,EOF1698879232,0.02,"EUR"
Market buy,2021-12-03 18:40:01,CA2926717083,UUUU,"Energy Fuels",0.1500000000,7.89,USD,1.12714,,"EUR",1.05,"EUR",,,,,,,,EOF1698879324,,
Market buy,2021-12-06 08:04:11,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",2.0000000000,31.02,EUR,1.00000,,"EUR",62.03,"EUR",,,,,,,,EOF1699955930,,
Market buy,2021-12-06 08:04:22,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",5.0000000000,3.67,EUR,1.00000,,"EUR",18.33,"EUR",,,,,,,,EOF1699955959,,
Market buy,2021-12-06 08:05:33,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",2.5000000000,26.72,EUR,1.00000,,"EUR",66.80,"EUR",,,,,,,,EOF1699956106,,
Deposit,2021-12-06 08:13:57,,,,,,,,,,200.00,"EUR",,,201.40,"EUR",-1.40,"EUR","Transaction ID: 1729387784361131",410543d3-46aa-4ab8-b591-0d274a5d9d4b,,
Market buy,2021-12-13 17:25:06,CA89788C1041,TCNNF,"Trulieve Cannabis",2.0000000000,24.17,USD,1.13049,,"EUR",42.82,"EUR",,,,,,,,EOF1709523133,0.06,"EUR"
Market buy,2021-12-13 17:25:57,US87918A1051,TDOC,"Teladoc Health",1.0000000000,92.66,USD,1.13055,,"EUR",82.08,"EUR",,,,,,,,EOF1709523210,0.12,"EUR"
Market buy,2021-12-13 17:25:59,US69608A1088,PLTR,"Palantir",5.0000000000,18.29,USD,1.13054,,"EUR",81.01,"EUR",,,,,,,,EOF1709523212,0.12,"EUR"
Market buy,2022-01-04 16:51:05,US18915M1071,NET,"Cloudflare",0.0850000000,114.99,USD,1.12865,,"EUR",8.67,"EUR",,,,,,,,EOF1734865957,0.01,"EUR"
Dividend (Ordinary),2022-01-05 09:27:10,CA87971M1032,TU,"TELUS",1.9460500000,0.22,USD,Not available,,,0.38,"EUR",0.08,USD,,,,,,,,
Dividend (Bonus),2022-01-05 11:15:42,BMG162581083,BEP,"Brookfield Renewable Partners",1.6600450000,0.07,USD,Not available,,,0.11,"EUR",0.02,USD,,,,,,,,
Dividend (Ordinary),2022-01-05 11:18:43,BMG162581083,BEP,"Brookfield Renewable Partners",1.6600450000,0.18,USD,Not available,,,0.27,"EUR",0.05,USD,,,,,,,,
