Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Deposit,2022-11-08 07:52:27,,,,,,,,,,500.00,"EUR",,,,,,,"Bank Transfer",f1d1a336-d1f0-4c4d-8040-2f840f6c6cc2,,
Market buy,2022-11-08 09:43:49,XS2297593456,SJPM,"Leverage Shares -1x Short JPMorgan",10.0000000000,4.82,USD,0.99979,,"EUR",48.31,"EUR",,,,,,,,EOF2128481755,0.07,"EUR"
Market buy,2022-11-08 09:44:47,JE00BDD9QC84,LWEA,"WisdomTree Wheat 2x Leveraged",0.3759010000,20.08,USD,0.99974,,"EUR",7.56,"EUR",,,,,,,,EOF2128481802,0.01,"EUR"
Market buy,2022-11-08 09:45:00,JE00B2NFT427,LAGR,"WisdomTree Agriculture 2x Leveraged",0.1474820000,11.32,USD,0.99969,,"EUR",1.67,"EUR",,,,,,,,EOF2128481812,,
Market buy,2022-11-08 09:45:48,JE00B2NFT427,LAGR,"WisdomTree Agriculture 2x Leveraged",0.7237470000,11.32,USD,0.99990,,"EUR",8.20,"EUR",,,,,,,,EOF2128481878,0.01,"EUR"
Market buy,2022-11-08 09:45:49,IE00BKLF1R75,VOLT,"WisdomTree Battery Solutions (Acc)",0.2658950000,38.47,USD,0.99990,,"EUR",10.25,"EUR",,,,,,,,EOF2128481888,0.02,"EUR"
Market buy,2022-11-08 09:45:49,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",8.3223000000,0.98,USD,0.99989,,"EUR",8.20,"EUR",,,,,,,,EOF2128481884,0.01,"EUR"
Market buy,2022-11-08 09:45:49,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",0.4459510000,45.92,USD,0.99990,,"EUR",20.51,"EUR",,,,,,,,EOF2128481881,0.03,"EUR"
Market buy,2022-11-08 09:45:49,IE00B94QLN63,2PAL,"WisdomTree Palladium 2x Leveraged",0.0258564000,197.61,USD,0.99989,,"EUR",5.12,"EUR",,,,,,,,EOF2128481891,0.01,"EUR"
Market buy,2022-11-08 09:45:51,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",1.8521700000,2.21,USD,0.99990,,"EUR",4.10,"EUR",,,,,,,,EOF2128481898,0.01,"EUR"
Market buy,2022-11-08 09:45:51,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",0.8855900000,6.93,USD,0.99989,,"EUR",6.15,"EUR",,,,,,,,EOF2128481895,0.01,"EUR"
Market buy,2022-11-08 09:45:56,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",0.0948310000,53.88,USD,0.99990,,"EUR",5.12,"EUR",,,,,,,,EOF2128481901,0.01,"EUR"
Market buy,2022-11-08 09:46:08,JE00B2NFTC05,LALU,"WisdomTree Aluminium 2x Leveraged",0.8551500000,2.40,USD,0.99989,,"EUR",2.05,"EUR",,,,,,,,EOF2128481911,,
Market buy,2022-11-08 09:47:50,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",1.0000000000,22.49,EUR,1.00000,,"EUR",22.49,"EUR",,,,,,,,EOF2128481953,,
Market buy,2022-11-08 09:50:32,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",100.0000000000,1.84,EUR,1.00000,,"EUR",183.80,"EUR",,,,,,,,EOF2128482028,,
Market buy,2022-11-08 09:53:12,XS2399364665,SPYS,"Leverage Shares -5x Short S&P 500",16.0000000000,6.45,USD,0.99951,,"EUR",103.32,"EUR",,,,,,,,EOF2128482149,0.15,"EUR"
Market buy,2022-11-08 13:00:02,US00202F1021,AMKBY,"AP Moller Maersk",3.9416120000,10.54,USD,0.99938,,"EUR",41.63,"EUR",,,,,,,,EOF2128489469,0.06,"EUR"
Market buy,2022-11-08 14:29:11,CA4433003064,HEOFF,"H2O Innovation",5.1249300000,1.60,USD,1.00120,,"EUR",8.20,"EUR",,,,,,,,EOF2128492803,0.01,"EUR"
Market buy,2022-11-08 14:30:01,CA2926717083,UUUU,"Energy Fuels",0.5695200000,7.19,USD,1.00118,,"EUR",4.10,"EUR",,,,,,,,EOF2128492856,0.01,"EUR"
Market buy,2022-11-08 14:30:02,MHY8162K2046,SBLK,"Star Bulk Carriers",0.4473210000,20.01,USD,1.00121,,"EUR",8.95,"EUR",,,,,,,,EOF2128493237,0.01,"EUR"
Market buy,2022-11-08 14:30:02,CA00386B1094,ABST,"Absolute Software",0.5899700000,10.25,USD,1.00119,,"EUR",6.05,"EUR",,,,,,,,EOF2128493188,0.01,"EUR"
Market buy,2022-11-08 14:30:03,CA13321L1085,CCJ,"Cameco",0.1709050000,23.96,USD,1.00119,,"EUR",4.10,"EUR",,,,,,,,EOF2128494128,0.01,"EUR"
Market buy,2022-11-08 14:30:03,CA67077M1086,NTR,"Nutrien",0.1235050000,73.85,USD,1.00119,,"EUR",9.12,"EUR",,,,,,,,EOF2128494006,0.01,"EUR"
Market buy,2022-11-08 14:30:04,IL0065100930,ZIM,"ZIM Integrated Shipping Services",1.2720770000,24.69,USD,1.00119,,"EUR",31.42,"EUR",,,,,,,,EOF2128494760,0.05,"EUR"
Market buy,2022-11-08 14:30:05,US0126531013,ALB,"Albemarle",0.0211501000,290.65,USD,1.00118,,"EUR",6.15,"EUR",,,,,,,,EOF2128495160,0.01,"EUR"
Market buy,2022-11-08 14:30:06,US6516391066,NEM,"Newmont",0.1238760000,41.30,USD,1.00118,,"EUR",5.12,"EUR",,,,,,,,EOF2128495576,0.01,"EUR"
Market buy,2022-11-08 14:30:06,US5533681012,MP,"MP Materials",0.1640820000,31.18,USD,1.00118,,"EUR",5.12,"EUR",,,,,,,,EOF2128495488,0.01,"EUR"
Market buy,2022-11-08 14:51:45,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",10.0000000000,9.62,USD,1.00020,,"EUR",96.32,"EUR",,,,,,,,EOF2129658624,0.14,"EUR"
Market sell,2022-11-08 14:52:10,XS2820604853,NVDE,"Leverage Shares 2x NVIDIA",2.8881483000,40.00,EUR,1.00000,-129.36,"EUR",115.53,"EUR",,,,,,,,EOF2129658684,,
Market buy,2022-11-08 14:53:03,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",13.0000000000,9.54,USD,1.00022,,"EUR",124.15,"EUR",,,,,,,,EOF2129658832,0.19,"EUR"
Market buy,2022-11-09 11:43:07,LU0832435464,VOOL,"Amundi S&P 500 VIX Futures Enhanced Roll (Acc)",30.0000000000,3.18,EUR,1.00000,,"EUR",95.54,"EUR",,,,,,,,EOF2130714150,,
Market buy,2022-11-09 14:56:56,JE00B3WFMB84,SJP3,"WisdomTree Short JPY Long USD 3x",0.2500000000,197.72,USD,1.00202,,"EUR",49.40,"EUR",,,,,,,,EOF2130738788,0.07,"EUR"
Market sell,2022-11-09 14:57:46,US40415F1012,HDB,"HDFC Bank",0.4234140000,64.14,USD,1.00176,5.05,"EUR",27.07,"EUR",,,,,,,,EOF2130738933,0.04,"EUR"
Market sell,2022-11-10 11:27:46,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",7.0000000000,11.30,USD,0.99490,12.47,"EUR",79.35,"EUR",,,,,,,,EOF2131693451,0.12,"EUR"
Market sell,2022-11-10 12:15:02,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",10.0000000000,11.33,USD,0.99499,18.16,"EUR",113.70,"EUR",,,,,,,,EOF2131695089,0.17,"EUR"
Market sell,2022-11-10 12:15:23,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",6.0000000000,11.34,USD,0.99488,10.96,"EUR",68.29,"EUR",,,,,,,,EOF2131695103,0.10,"EUR"
Market buy,2022-11-10 12:17:39,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",2.0000000000,20.45,EUR,1.00000,,"EUR",40.90,"EUR",,,,,,,,EOF2131695159,,
Dividend (Ordinary),2022-11-10 12:43:59,US6549022043,NOK,"Nokia",14.3154500000,0.01,USD,Not available,,,0.18,"EUR",0.10,USD,,,,,,,,
Market buy,2022-11-10 13:14:45,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",30.0000000000,3.99,USD,0.99542,,"EUR",120.40,"EUR",,,,,,,,EOF2131696852,0.18,"EUR"
Market buy,2022-11-10 13:19:17,XS2663694417,NIO3,"Leverage Shares 3x Long NIO",5000.0000000000,0.01,USD,0.99534,,"EUR",38.74,"EUR",,,,,,,,EOF2131697015,0.06,"EUR"
Market buy,2022-11-10 13:42:14,XS2663694417,NIO3,"Leverage Shares 3x Long NIO",5000.0000000000,0.01,USD,1.01010,,"EUR",42.63,"EUR",,,,,,,,EOF2131699227,0.06,"EUR"
Market buy,2022-11-10 13:51:30,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",34.0000000000,1.72,EUR,1.00000,,"EUR",58.38,"EUR",,,,,,,,EOF2131700611,,
Market sell,2022-11-10 13:52:28,XS2663694417,NIO3,"Leverage Shares 3x Long NIO",5000.0000000000,0.01,USD,1.01319,1.81,"EUR",42.38,"EUR",,,,,,,,EOF2131700708,0.06,"EUR"
Market buy,2022-11-10 13:52:49,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",25.0000000000,1.72,EUR,1.00000,,"EUR",43.07,"EUR",,,,,,,,EOF2131700757,,
Limit sell,2022-11-10 14:35:17,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",1.0000000000,23.00,EUR,1.00000,-32.82,"EUR",23.00,"EUR",,,,,,,,EOF2132712913,,
Market sell,2022-11-10 14:37:34,XS2663694417,NIO3,"Leverage Shares 3x Long NIO",5000.0000000000,0.01,USD,1.01343,1.81,"EUR",42.37,"EUR",,,,,,,,EOF2132713780,0.06,"EUR"
Market sell,2022-11-10 16:01:25,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",2.1224210000,14.66,EUR,1.00000,-88.02,"EUR",31.11,"EUR",,,,,,,,EOF2132739484,,
Market sell,2022-11-10 16:29:32,US7766961061,ROP,"Roper Technologies",0.0257111000,432.93,USD,1.01653,0.47,"EUR",10.93,"EUR",,,,,,,,EOF2132744214,0.02,"EUR"
Market sell,2022-11-10 16:38:59,US0126531013,ALB,"Albemarle",0.1312068800,317.38,USD,1.01666,11.51,"EUR",40.90,"EUR",,,,,,,,EOF2132745327,0.06,"EUR"
Market sell,2022-11-10 17:35:24,US6516391066,NEM,"Newmont",2.4107786700,46.48,USD,1.01497,4.18,"EUR",110.23,"EUR",,,,,,,,EOF2132750421,0.17,"EUR"
Market sell,2022-11-10 20:29:42,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.7691115000,37.24,USD,1.01891,1.13,"EUR",28.07,"EUR",,,,,,,,EOF2133762949,0.04,"EUR"
Market sell,2022-11-10 20:29:47,BMG162521014,BIP,"Brookfield Infrastructure Partners",1.0000000000,37.24,USD,1.01887,1.48,"EUR",36.50,"EUR",,,,,,,,EOF2133762956,0.05,"EUR"
Market sell,2022-11-11 11:19:33,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",20.0000000000,2.28,EUR,1.00000,-32.54,"EUR",45.50,"EUR",,,,,,,,EOF2133789238,,
Market sell,2022-11-11 11:20:21,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",20.0000000000,2.28,EUR,1.00000,-32.50,"EUR",45.54,"EUR",,,,,,,,EOF2133789260,,
