Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Lending interest,2023-11-06 01:11:28.298,,,,,,,,,,0.04,"EUR",,,"Share lending interest",4280ce9b-3702-4067-9cd1-d8013953a376,,,,,,
Lending interest,2023-11-07 01:08:32.952,,,,,,,,,,0.03,"EUR",,,"Share lending interest",d46274e2-cb06-46c1-9e7d-5eceacd1966c,,,,,,
Deposit,2023-11-07 08:15:04.166,,,,,,,,,,500.00,"EUR",,,"Bank Transfer",b5bd60db-27ce-4a04-a462-0f01e96a36ff,,,,,,
Market buy,2023-11-07 08:33:22,IE00B94QLN63,2PAL,"WisdomTree Palladium 2x Leveraged",4.0000000000,13.88,USD,1.06995,,"EUR",51.97,"EUR",,,,EOF5751777569,,,,,0.08,"EUR"
Market buy,2023-11-07 08:33:30,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",2.0000000000,21.59,USD,1.06993,,"EUR",40.41,"EUR",,,,EOF5751777578,,,,,0.06,"EUR"
Market buy,2023-11-07 08:34:33,LU1900066207,LBRA,"Amundi MSCI Brazil (Acc)",3.5000000000,20.26,EUR,1.00000,,"EUR",70.89,"EUR",,,,EOF5751777643,,,,,,
Market buy,2023-11-07 08:34:34,XS2595672036,TLT5,"Leverage Shares 5x Long 20+ Year Treasury Bond",6.0000000000,7.00,USD,1.07006,,"EUR",39.31,"EUR",,,,EOF5751777644,,,,,0.06,"EUR"
Market buy,2023-11-07 08:34:43,LU1900066207,LBRA,"Amundi MSCI Brazil (Acc)",0.5000000000,20.26,EUR,1.00000,,"EUR",10.13,"EUR",,,,EOF5751777653,,,,,,
Market buy,2023-11-07 08:35:05,LU0832435464,VOOL,"Amundi S&P 500 VIX Futures Enhanced Roll (Acc)",30.0000000000,1.56,EUR,1.00000,,"EUR",46.68,"EUR",,,,EOF5751777669,,,,,,
Market buy,2023-11-07 08:35:30,GB00B15KY211,NICK,"WisdomTree Nickel",3.0000000000,16.56,USD,1.06999,,"EUR",46.50,"EUR",,,,EOF5751777713,,,,,0.07,"EUR"
