Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Interest on cash,2024-11-04 02:01:38.382,,,,"Interest on cash",9733fc34-afcb-4553-b342-1e38c1b40727,,,,,,,0.14,"USD",,,,,,,,
Lending interest,2024-11-04 02:12:56.398,,,,"Share lending interest",b957beca-9933-409c-a666-76b1e7ab0a38,,,,,,,0.65,"EUR",,,,,,,,
Market buy,2024-11-04 11:51:42.103,AU0000288284,VSTE,"Vast Solar",,EOF23001502878,5.0000000000,9.36,USD,1.00000,,"USD",46.80,"USD",,,,,,,,
Limit buy,2024-11-04 12:54:59.469,AU0000288284,VSTE,"Vast Solar",,EOF23001507023,5.0000000000,7.08,USD,1.00000,,"USD",35.40,"USD",,,,,,,,
Market buy,2024-11-04 13:25:25.894,AU0000288284,VSTE,"Vast Solar",,EOF23001509513,5.0000000000,7.44,USD,1.00000,,"USD",37.20,"USD",,,,,,,,
Market buy,2024-11-04 14:24:04.272,US00788A2042,ADN,"Advent Technologies",,EOF23001513610,35.0000000000,4.07,USD,1.00000,,"USD",142.45,"USD",,,,,,,,
Limit buy,2024-11-04 14:30:42.391,US67113Y6032,NUWE,"Nuwellis",,EOF23001535023,22.0000000000,2.15,USD,1.00000,,"USD",47.30,"USD",,,,,,,,
Limit sell,2024-11-04 14:35:08.071,US67113Y6032,NUWE,"Nuwellis",,EOF23001539477,22.0000000000,2.49,USD,1.00000,7.48,"USD",54.78,"USD",,,,,,,,
Market buy,2024-11-04 14:49:26.119,US4579852082,IART,"Integra LifeSciences",,EOF23003615866,2.0000000000,23.35,USD,1.00000,,"USD",46.70,"USD",,,,,,,,
Limit buy,2024-11-04 14:57:42.851,AU0000288284,VSTE,"Vast Solar",,EOF23003618863,5.0000000000,6.29,USD,1.00000,,"USD",31.45,"USD",,,,,,,,
Market buy,2024-11-04 15:07:46.632,US67113Y6032,NUWE,"Nuwellis",,EOF23003621607,10.0000000000,2.90,USD,1.00000,,"USD",29.00,"USD",,,,,,,,
Market buy,2024-11-04 15:11:03.671,US67113Y6032,NUWE,"Nuwellis",,EOF23003622345,10.0000000000,3.01,USD,1.00000,,"USD",30.10,"USD",,,,,,,,
Market sell,2024-11-04 15:28:59.267,US4579852082,IART,"Integra LifeSciences",,EOF23003625798,2.0000000000,24.16,USD,1.00000,1.62,"USD",48.32,"USD",,,,,,,,
Limit buy,2024-11-04 16:44:44.681,US00788A2042,ADN,"Advent Technologies",,EOF23003636144,35.0000000000,2.95,USD,1.00000,,"USD",103.25,"USD",,,,,,,,
Limit buy,2024-11-04 17:54:25.123,US67113Y6032,NUWE,"Nuwellis",,EOF23003644998,16.0000000000,2.55,USD,1.00000,,"USD",40.80,"USD",,,,,,,,
Market buy,2024-11-04 19:07:03.664,US67113Y6032,NUWE,"Nuwellis",,EOF23005851475,20.0000000000,2.88,USD,1.00000,,"USD",57.60,"USD",,,,,,,,
Interest on cash,2024-11-05 02:01:33.545,,,,"Interest on cash",da12765c-1542-41f0-bd03-cca56d8fe5c5,,,,,,,0.08,"USD",,,,,,,,
Lending interest,2024-11-05 02:09:39.012,,,,"Share lending interest",ab52ef3f-5137-4e20-8bf2-afb63d0ab630,,,,,,,0.33,"EUR",,,,,,,,
Limit buy,2024-11-05 10:19:36.835,AU0000288284,VSTE,"Vast Solar",,EOF23005889750,10.0000000000,5.43,USD,1.00000,,"USD",54.30,"USD",,,,,,,,
