Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Interest on cash,2024-12-24 02:01:41,,,,"Interest on cash",3d770ca2-d2e4-414b-bd77-b50c64f45a68,,,,,,,0.21,"USD",,,,,,,,
Lending interest,2024-12-24 02:11:58,,,,"Share lending interest",3fc1a806-9323-4786-abe3-89d69e2fe4a9,,,,,,,1.19,"EUR",,,,,,,,
Market buy,2024-12-24 16:29:01.828,KYG0447T1004,ARBB,"ARB IOT Group",,EOF25502065276,200.0000000000,0.45,USD,1.00000000,,"USD",89.00,"USD",,,,,,,,
Market sell,2024-12-24 17:32:52.037,BE0003816338,CMBT,"CMB Tech",,EOF25502074107,243.6210000000,10.20,USD,1.00000000,211.30,"USD",2484.93,"USD",,,,,,,,
Market sell,2024-12-24 17:34:36.813,BE0003816338,CMBT,"CMB Tech",,EOF25502074206,6.3790000000,10.10,USD,1.00000000,4.90,"USD",64.43,"USD",,,,,,,,
Market buy,2024-12-24 17:37:24.723,US9778521024,WOLF,"Wolfspeed",,EOF25502074738,1.0000000000,7.71,USD,1.00000000,,"USD",7.71,"USD",,,,,,,,
Interest on cash,2024-12-25 02:01:41,,,,"Interest on cash",bfbe35e7-a29f-4dc3-9ac3-8d81f30716bc,,,,,,,0.50,"USD",,,,,,,,
Interest on cash,2024-12-25 02:01:41,,,,"Interest on cash",66689b3d-f6c4-4c77-a267-da740b457d63,,,,,,,0.01,"EUR",,,,,,,,
Lending interest,2024-12-25 02:05:37,,,,"Share lending interest",bb77ea40-7b10-4f72-a02c-1ec1aeee3248,,,,,,,1.19,"EUR",,,,,,,,
Interest on cash,2024-12-26 02:01:39,,,,"Interest on cash",985e793d-12f6-4774-ae40-69d9ee641ce9,,,,,,,0.49,"USD",,,,,,,,
Lending interest,2024-12-26 02:01:43,,,,"Share lending interest",9960e724-5935-45c7-ba51-5048815fe615,,,,,,,1.19,"EUR",,,,,,,,
